"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Vani,dirmult,500,500,100,0.769196023085855,0.5,0.11,1.878(0.024),1.003(0.011),0.847(0.005),0.134(0.005),0(0)
"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,50,30,100,0.5,0.5,0.08,2.283(0.128),1.447(0.1),0.714(0.021),0.128(0.009),0.17(0.013),0.83(0.013)
Eric,lognormal,50,30,100,0.5,0.5,0.23,2.119(0.084),0.786(0.032),0.833(0.018),0.204(0.01),0.157(0.013),0.843(0.013)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,50,50,100,0.5,0.5,0.11,3.065(0.117),2.285(0.143),0.769(0.017),0.093(0.005),0.257(0.015),0.743(0.015)
Eric,lognormal,50,50,100,0.5,0.5,0.27,2.575(0.115),0.914(0.038),0.892(0.021),0.144(0.007),0.227(0.015),0.773(0.015)

Debi,lognormal,50,200,100,0.5,0.5,0.2,5.455(0.151),8.502(0.587),1.033(0.02),0.051(0.002),0.38(0.016),0.62(0.016)
"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Eric,lognormal,50,200,100,0.5,0.5,0.38,4.305(0.137),1.442(0.076),1.139(0.023),0.065(0.004),0.385(0.019),0.615(0.019)

Eric,lognormal,800,1000,2,0.5,0.5,0.14,0.555(0.065),0.246(0.01),0.385(0.049),0.015(0.005),0(0),1(0)
Debi,lognormal,800,1000,100,0.5,0.5,0.07,588717.479(535851.889),233831.572(219048.477),18.94(7.44),0.051(0.013),0.837(0.022),0.163(0.022)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,400,1000,2,0.5,0.5,0.08,3.579(0.338),6.442(1.793),0.722(0.045),0.053(0.012),0.167(0),0.833(0)
Eric,lognormal,400,1000,2,0.5,0.5,0.12,0.958(0.161),0.39(0.072),0.523(0.045),0.057(0.015),0(0),1(0)

Eric,lognormal,550,700,100,0.5,0.5,0.14,0.688(0.017),0.307(0.007),0.489(0.008),0.019(0.001),0(0),1(0)
CoCo,lognormal,550,700,100,0.5,0.5,0.13,0.919(0.017),0.409(0.007),0.539(0.007),0.034(0.002),0(0),1(0)
Coda,lognormal,550,700,100,0.5,0.5,0.11,1.567(0.016),0.736(0.007),0.65(0.005),0.054(0.002),0(0),1(0)
Vani,lognormal,550,700,100,0.5,0.5,0.11,1.563(0.018),0.721(0.008),0.644(0.005),0.062(0.003),0(0),1(0)
Debi,lognormal,550,700,100,0.5,0.5,0.07,19094.846(16566.744),3955.041(3187.651),4.957(1.943),0.054(0.007),0.31(0.032),0.69(0.032)


"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirichlet,550,700,100,0.5,0.5,0.09,0.349(0.003),3.181(0.032),0.104(0.004),0.136(0.002),0(0),1(0)
Eric,dirichlet,550,700,100,0.5,0.5,0.31,0.036(0.002),0.161(0.005),0.109(0.004),0.04(0.002),0(0),1(0)
Coda,dirichlet,550,700,100,0.5,0.5,0.28,0.087(0.003),0.362(0.008),0.17(0.005),0.062(0.003),0(0),1(0)
Vani,dirichlet,550,700,100,0.5,0.5,0.26,0.087(0.003),0.358(0.007),0.167(0.005),0.075(0.004),0(0),1(0)
CoCo,dirichlet,550,700,100,0.5,0.5,0.28,0.044(0.002),0.193(0.006),0.12(0.004),0.059(0.004),0(0),1(0)



"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Eric,dirmult,550,700,100,0.850746130853045,0.5,0.24,2.065(0.035),1.038(0.019),0.758(0.006),0.017(0.001),0.093(0.009),0.907(0.009)
Debi,dirmult,550,700,100,0.850782243536288,0.5,0.07,364783.808(339443.133),198088.648(188844.737),19.297(9.904),0.031(0.007),0.817(0.024),0.183(0.024)
Vani,dirmult,550,700,100,0.850926048621134,0.5,0.12,2.212(0.022),1.175(0.012),0.918(0.005),0.112(0.004),0(0),1(0)
Coda,dirmult,550,700,100,0.850217617170752,0.5,0.12,2.243(0.021),1.204(0.012),0.921(0.005),0.099(0.003),0(0),1(0)
CoCo,dirmult,550,700,100,0.850318587772753,0.5,0.18,1.924(0.031),0.967(0.016),0.733(0.007),0.038(0.002),0.012(0.005),0.988(0.005)


"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,200,100,1,0.5,0.22,14.393(6.862),18.245(6.009),1.589(0.217),0.048(0.001),0.467(0.021),0.533(0.021)
Eric,lognormal,100,200,100,1,0.5,0.47,5.063(0.095),2.551(0.058),1.227(0.016),0.061(0.003),0.397(0.018),0.603(0.018)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirichlet,100,200,100,1,0.5,0.21,0.617(0.017),16.933(0.662),0.247(0.01),1(0),0(0),1(0)
Eric,dirichlet,100,200,100,1,0.5,1.17,0.306(0.019),2.811(0.08),0.3(0.012),0.188(0.008),0.002(0.002),0.998(0.002)

Debi,dirmult,100,200,100,0.531337057464302,0.5,0.09,1.869(0.071),2.482(0.191),0.673(0.014),0.052(0.002),0.048(0.01),0.952(0.01)
Eric,dirmult,100,200,100,0.531764276208372,0.5,0.22,2.434(0.059),0.915(0.024),0.812(0.01),0.096(0.004),0.148(0.011),0.852(0.011)


"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirmult,100,200,100,1.09828463455981,0.5,0.14,4.738(0.098),5.842(0.336),0.951(0.016),0.067(0.001),0.218(0.014),0.782(0.014)
Eric,dirmult,100,200,100,1.09852089332012,0.5,0.5,4.7(0.075),2.502(0.051),1.154(0.014),0.062(0.003),0.353(0.014),0.647(0.014)

Debi,dirmult,250,400,100,1.30700231550141,0.5,0.1,1223.3(550.426),515.609(220.091),2.944(0.798),0.06(0.008),0.138(0.021),0.862(0.021)
Eric,dirmult,250,400,100,1.30758796347114,0.5,0.42,4.295(0.038),2.549(0.034),1.108(0.01),0.039(0.002),0.277(0.008),0.723(0.008)

Debi,dirmult,100,200,100,1.43609724035735,0.5,0.17,5.779(0.091),7.717(0.435),1.043(0.015),0.07(0.002),0.287(0.016),0.713(0.016)
Eric,dirmult,100,200,100,1.43462414907093,0.5,0.69,5.718(0.077),3.583(0.079),1.277(0.012),0.056(0.004),0.437(0.017),0.563(0.017)

Debi,dirmult,250,400,100,1.58651317048109,0.5,0.11,28.923(15.819),21.421(7.906),1.203(0.103),0.054(0.004),0.14(0.017),0.86(0.017)
Eric,dirmult,250,400,100,1.58629499028237,0.5,0.53,5.002(0.042),3.608(0.047),1.216(0.009),0.034(0.002),0.323(0.008),0.677(0.008)



"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirmult,100,200,100,2.09055813297716,0.5,0.22,8.366(0.13),12.433(0.671),1.144(0.014),0.063(0.001),0.43(0.016),0.57(0.016)
Eric,dirmult,100,200,100,2.09017677301989,0.5,1.14,6.816(0.057),8.187(0.224),1.389(0.007),0.041(0.003),0.62(0.019),0.38(0.019)
Debi,dirmult,250,400,100,1.93753540746134,0.5,0.16,11.739(0.241),18.578(0.553),1.053(0.029),0.044(0.001),0.217(0.017),0.783(0.017)
Eric,dirmult,250,400,100,1.93711555616252,0.5,0.68,6.047(0.049),7.445(0.139),1.331(0.007),0.026(0.002),0.42(0.014),0.58(0.014)

Debi,lognormal,500,500,100,0.5,0.5,0.07,24551.377(23779.641),5108.102(4931.951),4.785(3.181),0.04(0.003),0.172(0.032),0.828(0.032)

