otu1,otu2,otu3,otu4,otu5,otu6,otu7,otu8,otu9,otu10,otu11,otu12,otu13,otu14,otu15,otu16,otu17,otu18,otu19,otu20,otu21,otu22,otu23,otu24,otu25,otu26,otu27,otu28,otu29,otu30,otu31,otu32,otu33,otu34,otu35,otu36,otu37,otu38,otu39,otu40,otu41,otu42,otu43,otu44,otu45,otu46,otu47,otu48,otu49,otu50,otu51,otu52,otu53,otu54,otu55,otu56,otu57,otu58,otu59,otu60,otu61,otu62,otu63,otu64,otu65,otu66,otu67,otu68,otu69,otu70,otu71,otu72,otu73,otu74,otu75,otu76,otu77,otu78,otu79,otu80
0,0,0,0,0,0,0,1671,858,53,88,247,0,0,262,1383,0,0,1,1,0,0,0,0,4,2,0,1,1,0,0,0,9,0,47,0,0,107,23,0,0,148,0,0,0,5,4,268,0,193,18,0,286,0,0,465,6,34,0,5,0,0,0,0,13,1,0,9,0,0,28,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5170,274,40,150,133,0,0,0,1137,0,0,0,2,0,0,0,0,19,1,0,0,0,0,0,0,2,0,147,0,0,181,32,0,0,587,0,0,1,0,3,556,0,265,81,0,129,0,0,1,0,0,0,160,0,16,0,0,0,15,0,31,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7309,463,0,0,1122,0,0,0,669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,153,0,0,41,25,0,0,110,0,0,0,7,8,361,0,50,0,0,318,0,12,58,0,0,0,0,0,1,0,0,2,1,0,1,0,0,202,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,2173,303,54,45,1321,0,0,0,3416,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,9,65,0,0,13,24,0,0,2,1,1,0,28,15,34,0,234,439,0,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2697,260,24,28,391,0,66,320,471,0,0,0,0,0,0,0,0,6,0,1,6,1,0,20,2,8,2,49,0,0,37,24,0,0,25,0,0,0,115,0,58,0,332,125,0,17,0,0,18,0,20,0,168,12,0,0,0,0,0,1,0,8,0,0,25,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,216,10,37,75,146,0,6,5861,217,0,0,0,0,0,93,0,0,7,14,0,270,0,0,0,0,3,2,31,1,0,189,76,0,1,395,0,0,0,12,3,404,0,556,381,0,60,27,9,1,0,14,25,0,0,17,0,84,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5892,0,0,169,0,0,0,91,1413,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,6,0,47,0,0,7,3,0,0,51,0,0,0,16,10,271,0,225,32,0,273,0,0,0,0,0,0,511,0,0,0,0,0,9,0,0,0,0,1,69,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8586,0,0,0,2251,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,83,0,0,0,15,0,0,1199,0,0,0,8,6,915,0,208,256,0,305,0,0,78,0,0,0,0,0,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3344,108,95,0,69,0,0,4077,237,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,211,0,0,30,18,1,0,152,0,0,0,2,8,956,0,132,0,0,24,0,0,0,0,0,0,275,0,10,0,0,0,3,0,0,0,0,160,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,5156,0,71,267,154,0,0,0,673,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,39,0,0,51,0,0,0,127,0,0,0,38,3,186,0,581,282,0,479,0,0,4,0,0,0,302,0,18,0,0,0,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3623,0,0,0,234,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,217,0,0,604,56,0,1,141,0,0,0,0,9,2217,0,165,0,0,165,0,0,0,0,0,0,264,0,1,0,0,0,1,0,1,0,0,107,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3612,703,24,186,546,0,91,1202,1345,0,0,0,0,0,1,0,0,3,1,0,95,0,0,0,0,3,3,250,0,0,25,46,0,0,63,0,0,0,27,4,505,0,340,19,0,104,20,4,0,0,0,18,0,0,0,0,50,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,3964,0,72,105,379,0,0,0,1186,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,3,0,82,0,0,76,7,0,0,75,0,0,0,9,0,275,0,827,190,0,224,0,0,0,0,0,0,159,0,2,0,0,0,0,0,1,0,0,127,0,3,0,0,0,0,0,0,0
